order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
9771,"2310405041703355012	",205065,23.59,2020-05-16,15
5213,"2304720857504678770	",205090,92.34,2020-05-08,12
5214,"2304721920165151647	",201810,101.83,2020-05-08,4
5215,"2304725566810488913	",201339,1300.9,2020-05-08,21
5217,"2304734875028029949	",201072,300.9,2020-05-08,6
5218,"2304735452130705940	",205092,1041.64,2020-05-08,16
5219,"2304739774797185733	",205089,509.24,2020-05-08,2
5220,"2304742352482206523	",205091,4.14,2020-05-08,5
5221,"2304745814225847229	",201446,150.44,2020-05-08,4
5225,"2304752561267146968	",205095,1387.01,2020-05-08,3
5234,"2304765988282827422	",205095,1387.01,2020-05-08,18
5260,"2304866866889228414	",205095,856.46,2020-05-08,20
5226,"2304753287108231410	",201548,254.61,2020-05-08,10
5227,"2304754404948967707	",202491,486.09,2020-05-08,17
5228,"2304756521612869990	",200752,38.17,2020-05-08,21
5229,"2304757890658861462	",200880,23.13,2020-05-08,18
5230,"2304759566266532296	",205093,485.86,2020-05-08,21
5231,"2304760367152103899	",205047,856.23,2020-05-08,13
5232,"2304764421886444136	",200164,53.22,2020-05-08,11
5233,"2304764865585087097	",201539,57.85,2020-05-08,20
7405,"2307342448910664565	",201539,69.42,2020-05-12,15
7406,"2307342448910664565	",201539,20.81,2020-05-12,21
5235,"2304772542260314973	",205099,11.55,2020-05-08,22
5236,"2304773879983244172	",203189,23.13,2020-05-08,13
5237,"2304778347051220996	",201459,203.68,2020-05-08,24
5238,"2304783020604784767	",204513,300.67,2020-05-08,21
5239,"2304784064365723811	",205097,104.14,2020-05-08,4
5241,"2304787945380380918	",205097,31,2020-05-08,11
5518,"2305185266194710742	",205097,92.34,2020-05-09,12
5794,"2305501736472674977	",205097,20.81,2020-05-09,9
5240,"2304785710470660297	",205101,0.23,2020-05-08,19
5243,"2304792210199019872	",205101,0.23,2020-05-08,9
5242,"2304791383426203977	",205100,347.2,2020-05-08,12
5244,"2304793376509133186	",205102,92.57,2020-05-08,18
